preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
3,3,2,5,2,5,1,3,Kenneth,Robbins,0,49,2,04/07/2016,2,Rama,16
3,2,3,3,5,4,2,5,Gareth,Hawkins,0,81,2,04/13/2017,2,Carissa,16
1,2,3,2,2,3,3,3,Finn,Knapp,0,94,1,01/12/2016,1,Aphrodite,13
3,2,1,3,4,3,1,2,Ignacia,Knox,0,92,2,05/13/2016,1,Shelley,16
1,1,3,2,5,3,5,3,Imani,Mckenzie,0,7,2,11/17/2016,2,Hall,1
1,1,2,3,5,4,1,4,MacKenzie,Ramos,0,2,1,04/01/2017,1,Kristen,6
3,1,3,1,3,3,2,2,Josiah,Brewer,0,55,2,05/31/2016,2,Herrod,17
2,3,1,3,4,3,1,5,Ima,Burns,0,22,2,06/11/2016,1,Teagan,11
2,1,1,5,3,2,4,2,Ignacia,Freeman,0,26,2,09/19/2016,1,Theodore,7
3,1,1,2,3,4,3,3,Elaine,Mendoza,1,61,1,12/02/2016,2,Laura,2
1,2,2,1,4,1,1,2,Laurel,Castaneda,0,95,1,08/07/2016,2,Jaime,14
3,1,2,1,1,4,3,2,Lydia,Potts,1,53,2,05/07/2016,1,Elton,2
2,1,3,3,1,2,2,2,Aspen,Booth,0,90,1,07/04/2016,1,Amela,4
2,1,3,1,3,5,4,3,Keiko,Robles,1,83,1,10/07/2015,1,Orson,7
2,1,3,1,1,5,3,3,Josiah,Rodriguez,0,26,2,07/24/2016,2,Iola,9
3,1,1,1,2,2,5,1,Merrill,Hopper,1,82,2,04/10/2017,2,Armando,5
