preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
3,3,3,1,2,3,2,3,Jeanette,Saunders,1,78,2,01/12/2017,2,Urielle,10
2,2,3,1,3,3,1,2,Salvador,Bridges,1,18,2,01/12/2016,2,Charity,15
1,2,3,3,5,5,2,5,Anne,Robertson,1,84,1,11/09/2016,2,Cameron,13
3,1,2,3,5,5,2,5,Bernard,Valdez,1,95,1,03/12/2016,2,Rhona,17
2,2,2,3,1,5,2,4,Nomlanga,Salinas,0,40,2,10/21/2016,2,Karleigh,1
2,3,3,3,5,1,5,1,Minerva,Meadows,1,96,1,11/29/2015,2,Karen,17
1,3,1,4,5,5,5,3,Inga,Reyes,0,53,1,03/21/2017,1,Hamilton,12
1,1,2,3,4,1,1,4,Moana,Bowers,0,81,1,09/01/2017,1,Cassandra,7
3,3,3,3,2,3,5,5,Whitney,Alvarez,0,28,2,05/19/2016,1,Caleb,17
3,2,2,4,1,5,1,1,Colleen,Heath,1,88,1,09/22/2015,1,Skyler,11
1,3,2,5,1,2,4,5,Lyle,Long,0,72,2,04/29/2017,2,Rigel,7
3,2,1,4,2,5,4,4,Suki,Benton,1,86,1,03/13/2017,1,Ivana,2
1,2,1,1,3,3,3,4,Kerry,Bender,1,40,1,06/04/2017,1,Joy,16
2,1,2,2,3,1,5,4,Adara,Fitzgerald,0,91,1,10/19/2015,2,Erich,7
2,2,1,1,5,5,1,1,Laura,Mcneil,1,29,1,07/16/2016,2,Zia,10
1,2,1,4,3,4,3,4,Leigh,Franklin,1,60,2,08/03/2016,2,Jonah,4
2,3,1,4,4,5,3,1,Noel,Daugherty,0,65,2,04/25/2017,1,Lacey,7
1,2,1,5,5,5,4,2,Sylvia,Stanley,1,45,1,10/19/2016,1,Tucker,9
2,2,3,1,5,5,1,5,Iris,Hall,1,24,1,02/07/2017,1,Shelley,7
1,1,3,3,5,3,4,4,Peter,Lancaster,1,53,1,09/27/2015,1,Ali,13
2,3,3,4,3,2,5,4,Sierra,Manning,1,15,1,10/15/2016,1,Michael,3
2,3,3,2,1,1,5,5,Nash,Casey,0,89,1,12/17/2015,2,Adrienne,2
2,1,3,1,3,4,2,2,Eagan,Ratliff,1,63,1,05/29/2016,1,Mannix,1
3,3,2,1,1,5,2,2,Kylan,Mcmillan,0,82,1,02/20/2017,2,Nora,4
1,1,1,5,3,3,4,1,Lillian,Farmer,1,71,2,11/20/2015,1,Jasper,5
1,3,3,4,3,4,5,3,Sharon,Elliott,1,43,1,06/12/2017,2,Echo,2
2,2,2,5,2,4,5,4,Macaulay,Harper,0,72,2,08/21/2017,1,Pascale,7
1,1,2,1,2,5,5,4,Neil,Chan,1,3,1,07/28/2017,2,Kuame,16
3,1,3,2,2,4,1,2,Cheryl,Saunders,0,36,2,04/13/2016,2,Jakeem,9
1,3,3,1,2,4,4,4,Aiko,Compton,0,5,2,06/11/2016,1,Camille,11
2,3,1,3,3,1,2,1,Fuller,Mcfarland,0,6,1,06/15/2016,2,Fay,8
1,2,3,5,4,4,1,1,Madison,Fuller,0,93,1,03/27/2017,2,Gisela,7
3,3,2,2,5,2,1,1,Octavia,Duncan,1,48,1,07/20/2016,2,Hannah,10
1,1,1,1,3,1,3,1,Damian,Fleming,1,20,2,05/06/2017,2,Brenna,14
2,3,2,3,1,5,2,2,Allegra,Webb,0,83,1,03/31/2016,1,Cassandra,1
2,1,2,2,4,3,2,1,Yoko,Houston,0,84,1,04/09/2016,1,Teagan,2
1,1,1,1,2,1,3,2,Brynn,Castillo,1,46,1,05/07/2016,2,Joseph,5
3,2,2,2,4,2,4,5,Urielle,Valdez,1,14,1,07/12/2017,2,Mira,7
2,3,1,3,4,3,2,1,Cyrus,Landry,0,64,2,04/13/2017,2,Yoshio,9
3,1,2,1,4,3,5,1,Hanae,Calderon,0,75,2,07/17/2017,1,Kato,3
1,3,3,2,5,5,2,2,Silas,Stuart,0,28,1,05/31/2017,1,Barrett,4
3,3,2,4,1,5,4,4,Madeline,Boyd,1,78,1,07/29/2017,1,Eagan,16
3,3,2,5,2,1,1,3,Austin,Williamson,0,60,2,04/04/2016,1,Porter,11
2,1,3,3,5,5,2,5,Blake,Lamb,0,89,2,09/07/2016,2,Yasir,1
3,2,2,1,2,1,2,4,Gil,Bender,0,88,2,08/21/2017,2,Fuller,16
2,1,1,4,3,3,5,5,Liberty,Wilcox,0,63,2,10/30/2016,1,Beau,17
2,2,2,5,1,5,5,4,Ori,Patton,1,63,1,12/17/2016,1,Castor,15
3,2,3,2,4,4,5,3,Brenda,Kirby,0,20,1,10/01/2015,2,Ifeoma,12
3,2,1,1,3,5,3,3,Taylor,Oliver,1,74,2,02/23/2017,1,Colton,1
1,3,1,2,3,1,4,3,Patrick,Johnston,0,85,2,03/11/2017,1,Rigel,1
3,2,3,1,1,4,3,5,Quamar,Jacobson,0,57,2,08/07/2017,2,Glenna,17
2,3,1,5,5,5,3,1,Owen,Moore,0,17,1,06/30/2017,1,Amber,13
1,1,1,1,1,4,2,5,McKenzie,Fitzgerald,1,69,2,03/23/2017,1,Gavin,16
2,3,2,1,1,3,1,4,Wyatt,Cantu,1,38,1,05/04/2017,1,Hilel,6
1,3,2,4,4,5,5,5,Astra,Mills,0,42,2,07/16/2017,1,Noble,16
