preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
1,3,1,5,2,3,3,2,Yvonne,Giles,0,76,2,01/05/2017,2,Galena,4
2,3,2,3,3,5,3,1,Daryl,Farrell,0,34,2,02/09/2017,2,Cairo,9
1,3,3,4,2,4,2,3,Judith,Gray,0,47,1,05/17/2017,2,Cassidy,2
1,2,1,5,3,2,4,2,Pascale,Roy,0,55,1,07/02/2016,2,Carolyn,8
2,3,2,1,1,3,2,3,Damian,Bartlett,1,3,1,04/06/2017,1,Regan,12
3,3,2,5,2,3,3,5,Candace,Wilson,1,9,1,12/28/2016,1,Burton,10
2,1,1,3,5,3,2,4,Philip,Wells,0,50,2,10/12/2015,2,Thane,3
1,1,3,3,1,1,3,1,Chaney,Wolf,1,43,1,10/13/2015,1,Chiquita,17
2,2,1,4,3,5,3,3,Lucian,Waller,0,59,1,06/25/2017,2,Simon,11
1,2,3,1,2,3,3,2,Demetria,Day,1,8,1,03/19/2017,2,Kendall,6
2,2,1,4,1,1,5,5,Cherokee,Conrad,0,12,2,09/20/2016,2,Bethany,2
1,2,1,5,1,3,3,1,Jenna,Mckee,0,48,1,07/11/2016,2,Zephr,9
3,2,1,3,5,5,1,4,Martena,Dejesus,0,71,2,09/13/2015,1,Alice,14
2,3,2,3,5,4,4,4,Rose,Fulton,0,54,1,12/15/2015,2,Zeph,13
2,3,2,3,4,5,4,5,Leila,Bowen,0,73,1,06/07/2016,2,Ezra,15
3,1,3,3,4,5,5,4,Zachery,Collins,0,49,2,06/09/2017,1,Zeph,13
3,1,2,4,1,3,4,2,Dorothy,Carson,1,23,1,12/30/2015,2,Miranda,17
1,1,1,4,5,5,4,1,Inga,Russell,1,53,2,08/19/2017,2,Shaine,17
2,1,1,1,4,4,3,5,Demetrius,Romero,0,62,2,02/05/2017,1,Piper,2
2,1,1,5,1,5,3,3,Madeline,Sharpe,0,84,1,02/18/2017,1,Addison,15
1,2,3,4,2,4,4,3,Naida,Manning,0,95,2,09/21/2015,2,Alvin,14
2,1,2,4,5,3,5,4,Julie,Acosta,0,14,2,05/17/2017,1,Kiona,13
1,3,3,1,2,2,5,3,Kiara,Case,0,72,1,03/11/2016,2,Chastity,4
3,3,1,2,2,4,3,4,Solomon,Thomas,0,89,1,12/26/2016,1,Isaac,4
2,2,1,3,1,3,3,4,Kasper,Church,0,74,2,06/28/2016,1,Ori,3
3,1,1,3,2,1,2,3,Chadwick,Burnett,1,26,1,09/27/2016,1,Phyllis,12
3,2,1,5,2,4,5,4,Maxine,Melendez,0,15,1,09/11/2015,2,Maryam,11
3,1,1,1,2,4,1,5,Nina,Pierce,1,72,1,09/24/2015,2,Camden,4
1,1,3,2,2,5,2,5,Casey,Shields,1,7,1,10/30/2016,1,Anthony,3
3,1,1,5,1,2,1,2,Candace,Harrison,1,36,1,10/26/2015,2,Heather,12
3,3,3,2,5,5,2,2,Mira,Riley,1,76,2,12/25/2015,2,Dennis,15
2,2,2,4,3,2,2,4,Zeph,Allison,0,59,2,03/13/2017,1,Aladdin,13
1,3,3,2,1,5,2,5,Hadassah,Burch,1,6,1,04/02/2016,1,Karleigh,4
1,3,1,5,1,2,5,3,Marcia,Guy,0,39,2,07/22/2017,2,Emery,8
1,2,3,5,3,1,1,1,Olympia,Spence,0,18,2,09/28/2016,2,Grace,2
3,3,3,1,2,1,1,1,Quinlan,Morgan,0,47,2,01/07/2016,2,Nevada,5
1,2,3,5,1,1,1,1,Yeo,Pugh,0,67,1,09/10/2016,1,Addison,9
3,3,2,3,2,3,3,3,Evangeline,Sandoval,0,69,2,12/22/2016,2,Serena,18
1,2,3,1,1,4,5,1,Portia,Weiss,0,69,1,09/28/2015,2,Vance,17
2,3,2,5,5,1,3,1,Shafira,Copeland,0,29,2,06/14/2016,2,Katelyn,18
2,2,3,1,5,5,1,5,Amanda,Patton,0,66,2,07/05/2016,2,Keith,5
1,2,1,2,2,5,4,1,Quynn,Hale,1,44,2,08/09/2016,2,Rina,15
1,1,2,5,5,2,3,5,Ocean,Snider,0,54,1,12/22/2015,1,Daquan,4
3,1,3,4,3,4,4,2,Kristen,Evans,1,92,1,03/27/2016,2,Holly,8
1,2,3,2,5,1,4,5,Nathan,Nguyen,0,63,1,02/06/2017,2,Carla,3
3,1,2,4,5,5,2,2,Nigel,Johnson,0,36,2,02/22/2017,1,Noble,2
3,2,2,2,3,3,1,4,Gavin,Ferrell,1,15,1,06/13/2017,2,Denise,2
3,2,1,2,4,1,5,1,Carolyn,Smith,0,38,2,02/06/2017,1,Noelani,9
2,3,3,4,2,5,5,4,Debra,Peters,0,38,2,11/08/2015,1,Cooper,11
1,2,1,1,4,1,1,2,Benjamin,Pickett,1,11,2,07/15/2017,1,Kuame,5
3,1,1,2,4,3,3,5,Addison,Cantu,0,17,2,04/20/2016,2,Edward,6
3,2,1,1,3,4,4,1,Inga,Ortega,1,64,2,07/19/2016,2,Beatrice,8
1,2,1,5,5,5,1,4,Andrew,Pearson,0,85,2,09/03/2016,2,Hyacinth,3
2,2,1,1,3,4,5,1,Lee,Goodman,1,18,2,06/07/2016,2,Maxine,3
2,3,2,5,1,3,3,1,Francesca,Meadows,0,12,1,01/12/2016,2,Ria,11
1,2,1,4,4,4,5,5,Garrett,Huffman,0,91,1,07/06/2017,2,Neil,17
2,1,1,5,5,2,1,2,Barrett,Gilliam,1,25,2,08/31/2016,2,Daphne,4
3,2,2,3,1,3,4,4,Destiny,Lee,1,14,1,08/10/2017,1,Judith,8
2,3,1,5,5,3,2,1,Jaden,Molina,0,9,2,01/08/2016,1,Brooke,3
2,1,1,3,5,5,4,3,Kaseem,Baxter,1,57,2,10/07/2016,2,Zeph,9
1,3,1,5,4,4,1,4,Anthony,Williams,1,94,2,09/24/2016,1,Cora,12
3,1,3,2,3,5,5,4,Lee,Diaz,1,66,2,09/06/2016,1,Alfreda,14
2,3,1,2,2,2,1,5,Jacqueline,Buckley,0,88,2,06/23/2016,1,Isaac,13
3,1,2,3,5,3,3,1,Shellie,Parrish,0,82,2,11/21/2015,2,Stella,11
2,3,3,3,1,2,5,2,Kelsie,Gay,1,97,2,07/05/2016,1,Jada,18
1,2,3,3,4,1,3,5,Harrison,Hinton,0,54,2,01/10/2017,2,Honorato,2
1,2,1,4,5,1,2,4,Noelle,Leblanc,1,29,2,07/11/2017,2,Karyn,15
1,2,3,2,4,5,2,3,Quintessa,Underwood,1,74,1,04/22/2016,1,Britanney,7
2,3,1,3,2,4,1,4,Dacey,Meadows,1,94,1,10/13/2016,1,Alisa,10
3,3,1,3,2,2,1,3,Shafira,Acevedo,0,85,2,09/01/2017,2,Hedley,18
1,2,2,1,3,2,2,3,Ryder,Callahan,0,74,2,01/14/2017,2,Jakeem,12
3,1,3,5,2,5,2,2,Mechelle,Cote,1,87,1,07/22/2017,2,Oleg,16
1,3,1,1,5,3,4,3,Irma,Mack,0,87,1,12/28/2015,2,Gloria,1
3,2,1,2,4,2,5,4,Hyatt,Ewing,0,42,1,11/16/2016,1,Hamish,10
3,1,3,2,2,1,5,2,Susan,Holder,0,10,1,07/15/2016,2,Edward,13
3,2,3,1,1,5,3,5,Cathleen,Conrad,0,95,1,01/08/2016,2,Ramona,13
3,2,1,1,4,2,4,2,Libby,Davidson,0,24,2,10/20/2016,2,Yardley,15
1,2,2,2,1,5,5,3,Zena,Zamora,0,13,2,09/05/2016,1,Nathaniel,8
