preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
2,2,3,2,5,5,3,1,Slade,Chaney,0,34,1,09/02/2016,1,Nissim,12
1,1,1,5,3,3,5,5,Devin,Osborne,1,76,2,06/14/2017,2,Kirby,10
3,1,1,4,2,1,2,3,Raymond,Tyson,1,90,1,11/13/2016,2,Murphy,12
1,2,2,4,1,5,1,4,Hayden,Gillespie,1,99,2,10/05/2016,2,Laith,13
3,3,1,3,1,1,5,5,Brenna,Boone,1,85,1,06/05/2016,1,Howard,18
2,2,1,5,1,1,5,2,Chandler,Patrick,0,17,1,08/17/2017,2,Linus,16
3,3,3,2,1,5,5,2,Jelani,Cooper,0,75,2,04/23/2017,1,Ila,11
3,1,1,1,4,4,3,5,Lael,Rojas,0,72,1,05/15/2017,2,Ferdinand,4
3,2,3,1,2,3,2,5,Ferris,Farmer,0,1,2,08/08/2016,2,Georgia,9
3,3,3,1,2,5,3,2,Rashad,Boyle,1,42,2,03/10/2017,1,Cameran,14
2,2,3,4,3,2,3,1,Rogan,Bond,1,8,2,01/20/2017,1,Karleigh,3
2,1,3,2,5,3,4,2,Karyn,Carter,1,53,1,12/24/2015,2,Scott,18
2,2,1,2,2,2,3,4,Eaton,Hill,1,3,2,06/06/2017,1,Sara,7
2,1,2,5,2,2,3,5,Latifah,Lamb,1,89,1,02/04/2017,1,Neville,9
1,1,3,4,5,3,4,4,Chaney,Miranda,1,70,2,07/19/2016,1,Quon,4
2,2,2,3,2,3,5,3,Stone,Michael,0,73,2,02/24/2017,2,Elaine,12
1,1,1,2,4,5,1,4,Iona,Moon,1,65,1,06/29/2016,1,Uriel,7
1,2,1,4,1,3,3,3,Briar,Wallace,0,44,2,08/12/2017,1,Melinda,4
2,3,3,4,3,4,3,3,Baker,Koch,0,20,2,07/30/2017,1,Risa,14
2,2,1,2,2,3,3,3,Alyssa,Kemp,0,16,1,08/09/2016,2,Karen,18
1,1,3,4,3,2,5,1,Genevieve,Quinn,0,24,1,08/24/2016,1,Brady,8
2,1,2,3,3,2,4,2,Paloma,Raymond,0,15,1,08/25/2016,2,Mona,9
1,2,2,3,4,5,5,5,Elaine,Kinney,1,75,2,01/20/2017,2,Alea,3
3,2,3,1,2,5,3,2,Tate,Adkins,0,92,1,10/14/2016,1,Libby,13
3,2,2,3,1,2,1,4,Jessamine,Holcomb,1,30,1,10/01/2016,1,Gemma,11
1,1,3,4,4,5,5,1,Keiko,Hays,0,42,2,05/12/2017,1,Charissa,14
1,3,3,2,5,2,2,4,Barbara,Tyler,0,57,2,10/24/2016,2,Carla,18
1,1,2,3,3,4,3,5,Martina,Velez,0,16,1,02/09/2016,2,Oprah,14
1,3,2,1,3,4,2,3,Liberty,Jackson,1,25,2,10/25/2015,2,Virginia,13
2,3,2,3,2,1,4,4,Lucian,Chandler,0,20,1,02/11/2017,1,Isaiah,16
3,1,1,2,2,2,3,3,TaShya,Horton,0,75,2,03/27/2017,1,Nasim,18
1,3,3,4,1,1,1,1,Jamal,Hester,0,39,1,08/25/2017,2,Kenneth,13
3,3,2,3,3,2,4,5,Nola,Cain,0,24,2,01/25/2017,1,Paula,15
3,3,3,2,2,1,4,5,Inga,Ortega,0,34,1,08/10/2016,1,Serena,17
1,1,3,3,4,5,1,5,Peter,Flowers,0,13,1,05/12/2016,1,Elton,1
3,2,2,1,1,1,4,3,TaShya,Goodwin,1,86,2,04/14/2017,2,Ashely,7
3,3,2,2,2,3,1,2,Stewart,Good,1,80,2,10/19/2016,1,Claire,5
2,2,1,1,2,2,4,2,Tashya,Carson,1,78,1,04/24/2017,2,Azalia,4
1,1,1,2,3,2,4,5,Uta,Bailey,1,28,2,01/11/2016,2,Alfreda,11
2,2,1,1,1,1,1,1,Amela,Chambers,0,37,1,04/19/2016,1,Dylan,4
3,1,1,2,2,2,3,4,Kimberly,Bird,0,61,1,07/11/2017,1,Barbara,10
3,2,1,1,5,1,1,5,Deanna,Nixon,1,37,2,05/03/2016,2,Noah,12
3,3,2,2,4,3,4,4,Odysseus,Rhodes,0,84,1,11/24/2016,1,Quintessa,12
2,1,1,1,3,1,1,5,Isabelle,Santos,1,68,2,02/26/2017,1,Kaitlin,10
2,2,3,4,3,3,4,1,Yuli,Avery,1,17,1,03/22/2016,1,Quinlan,10
3,2,2,4,3,5,4,5,Maxine,Santana,1,36,1,12/25/2016,2,Lester,2
1,2,1,4,2,5,5,2,Duncan,Thornton,1,51,1,02/24/2016,1,Brock,5
3,1,2,3,2,1,1,3,Rebecca,Harrington,0,39,2,12/08/2016,2,Axel,7
1,2,3,5,2,2,3,3,Dawn,Wilson,0,58,2,05/07/2017,2,Sybil,3
2,3,1,1,2,5,1,1,Carolyn,Ramirez,0,13,1,05/23/2016,1,Wynter,5
2,2,1,1,1,2,2,5,Martha,Norman,1,96,2,08/15/2017,2,TaShya,2
1,1,2,5,3,5,2,1,Charity,Marsh,1,36,2,03/19/2017,1,Daryl,14
2,3,3,5,3,4,1,1,Allen,Short,1,7,2,11/21/2016,1,Tallulah,2
2,3,3,1,1,2,2,2,Hillary,Sparks,1,68,2,06/12/2016,2,Mason,9
1,3,3,2,4,4,4,2,Hyatt,Hebert,1,1,2,09/06/2016,2,Heidi,1
3,3,3,4,4,2,3,2,Eric,Mejia,1,49,2,09/28/2015,2,Wayne,8
1,1,3,4,1,5,1,1,Ezra,Powers,0,23,1,08/03/2016,1,Angelica,6
1,3,3,3,4,1,4,1,Emily,Mcintyre,0,91,1,09/10/2016,2,Signe,7
3,3,1,2,5,1,3,3,Christopher,Horne,0,10,1,05/30/2016,1,Bernard,4
3,1,3,2,3,2,4,4,Amaya,Wilder,0,6,2,09/27/2016,2,Shafira,5
2,2,2,2,3,5,5,3,Brynn,Norris,1,82,1,12/02/2015,1,Hall,2
1,1,1,3,1,1,4,4,Sonia,Foster,0,84,1,06/25/2016,2,Alexandra,15
2,1,1,5,3,3,1,4,Tiger,Heath,1,48,2,06/10/2016,1,Barrett,13
2,3,2,2,5,4,4,4,Ursa,Wynn,0,51,1,12/22/2016,2,Gabriel,8
3,3,1,5,4,5,5,4,Libby,Talley,0,27,1,02/18/2017,1,Ishmael,6
3,2,1,5,5,2,2,4,Tatyana,Ray,0,72,1,11/03/2015,1,Carly,9
3,1,2,4,4,5,3,5,Burke,Wilson,0,73,1,01/28/2016,1,Isabella,9
1,2,3,2,5,1,4,3,Lois,Wyatt,1,47,1,07/28/2016,1,Driscoll,2
2,1,2,1,2,5,2,4,Rinah,Vinson,0,97,2,12/17/2015,2,Kermit,15
2,1,1,1,3,3,2,3,Audra,Tucker,1,30,2,06/15/2017,2,Alea,8
2,1,2,5,3,5,4,5,Lucy,Johns,1,72,1,03/24/2016,1,Zephr,15
2,3,3,5,1,2,3,4,Carol,Delacruz,1,8,2,02/09/2017,2,Demetria,8
3,1,3,4,4,3,3,1,Jared,Roman,1,58,1,09/14/2016,1,Ainsley,3
3,1,2,2,5,5,5,4,Haley,Cortez,1,35,2,07/10/2016,2,Clare,18
2,2,2,3,5,3,1,3,Tasha,Kaufman,0,3,1,09/17/2015,1,Natalie,6
2,3,2,1,4,5,3,3,Sade,Burris,1,43,1,12/19/2016,1,Bethany,7
3,2,2,1,2,5,1,3,Isaiah,Patel,0,77,1,09/27/2016,1,Cynthia,6
2,1,3,2,4,2,4,5,Plato,Stanton,0,68,1,03/31/2016,2,Kibo,7
