preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
1,2,1,5,1,1,3,2,Rachel,Barr,0,85,1,09/15/2016,2,Colby,12
3,3,2,4,4,2,4,2,Gwendolyn,Christensen,1,75,1,08/13/2016,2,Nolan,16
3,2,2,4,1,4,3,1,Pascale,Sosa,0,56,2,09/26/2015,2,Tanek,10
1,1,3,4,2,4,2,5,Evelyn,Ward,0,16,1,10/24/2016,1,Brody,16
3,1,2,1,4,2,5,1,Declan,Knowles,0,16,1,02/03/2016,1,Christen,8
3,2,3,1,5,2,5,5,Fallon,Kennedy,1,9,1,10/27/2015,1,Aristotle,9
2,3,3,5,2,2,3,3,Dennis,Wilson,1,81,1,02/21/2017,2,Xandra,17
3,1,3,4,1,1,5,2,Veronica,Vazquez,0,99,2,08/17/2016,2,Hyacinth,7
3,2,1,4,3,4,4,5,Breanna,Blake,1,38,2,10/25/2016,1,McKenzie,3
1,1,3,4,3,5,4,1,Shea,Salinas,1,19,2,01/25/2016,2,Cooper,12
3,3,2,4,3,5,4,5,Caldwell,Battle,0,13,2,02/09/2016,2,Abigail,5
3,3,1,2,4,3,5,5,Ray,Salinas,1,19,1,10/28/2015,1,Gretchen,18
1,3,3,5,4,4,5,4,Mercedes,Boyd,1,55,1,03/16/2017,2,Gabriel,4
1,3,1,2,3,1,2,4,Duncan,Elliott,1,57,1,05/31/2016,2,Amos,12
1,1,3,3,1,4,2,4,Lois,Booker,0,18,1,10/11/2016,2,Ivan,14
2,1,1,1,5,1,3,2,Kermit,Hill,1,41,2,11/05/2016,2,Salvador,1
3,3,3,4,3,4,5,1,Ria,Olson,1,55,1,05/30/2016,2,Daria,16
3,3,1,2,4,2,5,3,Risa,Casey,0,60,2,12/11/2015,2,Ishmael,10
1,2,3,1,5,1,3,2,May,Lester,0,33,2,11/05/2015,1,Velma,9
2,1,2,5,3,1,3,5,Cedric,Vargas,1,50,2,11/12/2016,2,Caleb,7
3,1,1,5,3,3,5,3,Eagan,Kemp,1,42,2,03/29/2017,1,Christian,8
3,2,1,2,2,4,5,4,Guinevere,Goodwin,0,3,1,07/30/2016,2,Caesar,14
2,3,2,1,1,4,3,5,Mark,Osborn,0,45,2,02/26/2017,2,Eleanor,6
1,3,2,5,3,3,3,1,Nelle,Horn,0,80,2,07/04/2017,1,Lucas,6
3,1,1,5,3,4,4,1,Sebastian,Acosta,1,36,1,01/09/2017,1,Erin,6
2,2,1,4,4,3,3,2,Ulla,Williams,0,58,1,02/23/2017,1,Brooke,5
2,3,1,3,3,1,3,2,Gil,Fitzgerald,1,39,2,08/07/2016,2,Martina,14
2,2,3,2,5,2,3,2,Audra,Mccoy,0,78,2,12/15/2016,2,Rudyard,17
3,1,3,1,3,2,4,2,Keane,Glass,1,10,1,09/12/2015,2,Jena,5
3,1,2,3,1,5,5,3,Sawyer,Rocha,0,47,1,01/31/2017,1,Clayton,13
3,3,3,3,4,5,4,2,Ulysses,Sampson,0,55,2,04/14/2017,1,Hakeem,6
1,3,2,1,3,4,4,4,Hannah,Pickett,1,16,1,12/29/2016,2,Naomi,16
3,3,2,3,3,2,3,4,Aimee,Velez,1,19,1,03/28/2016,2,Channing,16
3,2,2,3,1,3,5,3,Hadley,Ortiz,0,71,1,09/19/2015,2,Malcolm,4
3,1,3,5,3,1,3,3,Ginger,Daugherty,1,66,2,11/09/2016,1,Geraldine,10
2,1,1,5,1,1,2,3,Hadley,Grimes,0,96,2,07/29/2017,1,Kelsey,16
2,1,3,4,4,3,5,1,Renee,Wong,1,15,1,07/29/2016,2,Savannah,14
2,1,3,4,3,2,1,3,Nomlanga,Bowen,0,18,1,06/30/2016,1,Vladimir,13
2,2,3,2,5,5,2,1,Katell,Byers,0,57,1,05/14/2016,2,John,13
2,3,2,1,2,1,5,5,Hermione,Perry,0,28,2,07/25/2017,2,Kevin,6
1,1,2,5,4,2,2,2,Nina,Burnett,0,10,1,06/08/2017,2,Ruth,10
1,3,3,5,3,3,4,3,Imogene,Mejia,0,89,1,04/17/2017,2,Quyn,3
3,1,3,4,3,3,5,5,Delilah,Stark,1,83,1,05/29/2016,1,Abra,15
2,2,2,2,3,1,2,3,Uriel,Wells,0,15,1,04/28/2016,1,Ainsley,5
2,2,2,2,5,5,4,3,Marah,Moody,1,80,2,06/08/2016,2,Kamal,18
1,2,1,5,4,4,3,3,Isabelle,Fowler,1,21,2,02/21/2016,1,Hop,13
3,2,3,2,3,5,3,2,Cameron,Stout,1,42,1,03/20/2016,2,Renee,15
3,3,1,5,3,5,4,4,Hyatt,Black,1,69,1,01/19/2017,1,Ivory,3
2,3,1,4,2,5,5,4,Keane,Williamson,1,40,2,06/18/2016,2,Kai,16
2,2,2,5,4,5,3,1,Flavia,Sheppard,1,50,2,07/10/2017,2,Yetta,8
2,2,1,5,1,1,3,4,Barrett,Bishop,0,30,2,11/20/2015,2,Jane,18
3,3,1,2,5,1,3,4,Dana,Gentry,1,69,2,07/03/2016,2,Emma,7
